row_no,item_of_work,unit,qty,rate,amount,remarks,_source_file,_folder,_project
Bill No:,RB-SAT-C006-05,,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
Date:,"July 16, 2011",,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
Project:,SATTI_PLAZA,,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
Contractor:,Qamar Civil Engineers,,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
Scope:,Civil Works,,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
Contract Value:,13275660.6,,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
WORK DONE THIS PERIOD,,,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
1,Plastering,sft,2712.7,,3702835.5,As per BOQ,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
2,Excavation,cft,,207.0,902996.1,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
3,Flooring,sft,1722.8,1016.0,1750364.8,As per BOQ,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
4,Painting,sft,2432.5,1587.0,3860378.0,As per BOQ,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
5,Door Frame,nos,431.8,2449.0,1057478.2,As per BOQ,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
,,,,,2285386.8,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
,,,,,543542.5,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
,,,,,228538.68,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
,,,,,2056848.12,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
Prepared:,,Checked:,,,,,contractor_bills\SATTI_PLAZA_C006_RunBill_05.xlsx,contractor_bills,SATTI_PLAZA
