row_no,item_code,description,unit,opening_stock,received,issued,balance,remarks,_source_file,_folder,_project
Project: SATTI_PLAZA   Month: April 2012,,,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
1,PIP-GI2,GI PIPE 2IN,rft,157.5,436.2,303.3,290.4,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
2,WHITE OIL PAINT 4L,paint_oil_w,tin,139.6,79.6,192.5,26.7,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
3,TILE-12X12,TIL-CER12,sft,112.2,349.4,323.0,138.6,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
4,CEM-OPC50,CEMENT-50,bag,40.5,455.4,,121.5,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
5,PLY_MR_12MM,Plywood 12mm MR,sht,,348.9,218.2,303.4,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
6,MAR-W-IMP,White Marble Imp.,sft,109.7,250.0,154.4,205.4,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
7,GENERATOR 25KVA,25KVA Genset,nos,118.0,118.2,143.7,92.5,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
8,GALVPIPE-1,gi_pipe_1inch,rft,16.7,196.8,167.0,46.6,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
9,ARMOURED CABLE 95,CBL-ARM95,mtr,75.9,236.0,52.0,259.9,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
10,RIVER_SAND,Sand (Fine),cft,3.8,448.1,174.7,277.2,Reorder,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
11,ALM-W4,al_window_4,nos,,391.5,240.9,304.2,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
12,S.BAR 16MM,REBAR-16MM,kg,,202.7,249.1,22.5,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
13,GRAVEL-3/4,Coarse Aggregate 3/4 inch,cft,43.0,410.0,118.9,,Surplus,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
14,CLASS A BRICK,bricks_a,1000,58.4,230.1,179.0,109.5,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
15,GLS-CLR6,6mm_glass,sft,,52.4,29.1,45.5,OK,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_PLAZA_Inventory_Apr2012.xlsx,inventory,SATTI_PLAZA
