row_no,item_code,description,unit,opening_stock,received,issued,balance,remarks,_source_file,_folder,_project
Project: SATTI_MALL   Month: May 2007,,,,,,,,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
1,TOILET_STD,SAN-WC,nos,196.2,349.5,311.4,234.3,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
2,CEMENT-50,OPC 50 KG,bag,182.8,253.0,15.0,421.0,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
3,WIRE_3029,WIR-CP3,mtr,28.6,208.5,206.8,30.3,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
4,GLS-CLR-6,GLS-CLR6,sft,20.2,359.3,222.3,157.2,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
5,WIRE-7/029,CopWire7,mtr,186.6,,4.9,295.7,OK,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
6,SND-RV,river_sand,cft,194.4,,166.1,379.9,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
7,ARMOURED CABLE 95,AC-95sq,mtr,100.8,245.8,293.7,52.9,Surplus,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
8,GI_PIPE_2INCH,GalvPipe-2,rft,96.6,165.0,143.0,118.5,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
9,PLY-MR12,ply_mr_12mm,sht,144.7,287.8,160.1,272.4,Reorder,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
10,RMC_M20,RMC-M20,cft,103.1,343.3,,168.1,OK,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
11,RED BRICK A-GRADE,Class A Brick,1000,30.8,198.0,27.2,201.1,Surplus,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
12,STL-RB-16,16mm Steel Rebar,kg,83.7,178.2,83.5,178.4,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_MALL_Inventory_May2007.xlsx,inventory,SATTI_MALL
