row_no,item_code,description,unit,opening_stock,credit,debit,closing_stock,nan,_source_file,_folder,_project
Project: SATTI_APTS   Month: March 2017,,,,,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
1,STL-RB16,rebar 5/8 inch,kg,150.0,393.6,477.4,66.2,Surplus,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
2,25KVA GENSET,GENSET-25,nos,5.0,436.1,9.9,431.2,Surplus,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
3,ARMD-CBL-95,95mm² Armoured Cable,mtr,15.2,377.2,300.8,92.0,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
4,ALM-WIN-4,al_window_4,nos,170.2,369.2,429.5,109.9,Reorder,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
5,MAR-W-IMP,MRB-IMP,sft,105.1,479.3,194.9,,OK,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
6,AGG-CRS34,Bajri 3/4,cft,86.0,15.9,69.7,32.0,Surplus,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
7,FLOOR_TILE_12,"Tile 12x12""",sft,15.7,30.0,11.2,34.5,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
8,GALVPIPE-2,gi_pipe_2inch,rft,100.4,296.0,158.1,238.1,Reorder,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
9,SAND (FINE),Reti (River),cft,157.5,138.3,126.1,169.7,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
10,WIRE_3029,Copper Wire 3/.029,mtr,102.2,334.5,122.6,314.1,Surplus,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
11,GLS-CLR6,Sheesha 6mm,sft,122.8,370.2,351.0,142.0,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
12,PLY-MR-12,PLYWD-12,sht,144.0,,342.0,152.4,Reorder,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
13,BRICK-CLA,BRICK-CLA,1000,167.6,340.2,316.0,191.0,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
14,CEM-OPC-50,OPC 50 KG,bag,77.7,16.1,45.5,48.3,Reorder,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
15,WIRE_7029,CopWire7,mtr,67.9,130.6,,139.1,Reorder,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
16,GALVPIPE-1,GalvPipe-1,rft,33.3,361.0,308.8,86.0,Surplus,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
17,READY MIX M20,Ready Mix M20,cft,60.5,102.0,157.4,5.0,Reorder,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
18,PAI-OIL,OIL-PAINT-W,tin,180.1,485.0,513.9,151.4,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
19,WC-STD,W.C. Std.,nos,33.6,59.5,51.2,42.0,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS
