row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
BILL16508   Pak Steel Traders   18-Apr-2007,,,,,,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
1,GALVPIPE-1,PIP-GI1,PKR 30,173.0,5276.5,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
2,PLY_MR_12MM,MR Ply 12,112.4,2008.0,225699.2,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
3,CEM_OPC_50,OPC Cement 50kg Bag,374.7,1022.0,382943.4,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
4,GLASS-6MM,GLASS-6MM,193.4,222.0,42934.8,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
5,ENAMEL WH.,White Oil Paint 4L,382,1703.0,650546.0,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
6,STL-RB-16,REBAR-16MM,278.9,,40161.6,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
7,WIR-CP7,Copper Wire 7/.029,277.6,108.0,29980.8,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
,,,,,1500530.78,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
,,,,,,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
Prepared by:,KAMRAN,,,,,purchase_bills\SATTI_MALL_Bill_07_BILL16508.xlsx,purchase_bills,SATTI_MALL
