row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
Invoice #,BILL06294,Vendor:,Fazal Bricks & Tiles,,,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
Project,SATTI_MALL,Date:,2006/11/01,,,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
1,GLASS-6MM,GLS-CLR6,141.4,249.0,35208.6,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
2,CBL-ARM-95,CBL-ARM95,107,748.0,80036.0,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
3,COMMODE STANDARD,Commode Standard,121/-,11440.0,1384240.0,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
4,"TILE 12X12""",floor_tile_12,162.9,87.0,14172.3,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
5,PIP-GI2,"G.I.Pipe 2""",153.7,269.0,41345.3,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
6,CLASS A BRICK,Class-A Red Brick,486.3,15855.0,7710286.5,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
7,ALUM WINDOW 4FT,ALM-W4,378.4,14385.0,5443284.0,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
,,,,,14722178.82,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
,,,,,,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
Prepared by:,,,,,,purchase_bills\SATTI_MALL_Bill_07_BILL06294.xlsx,purchase_bills,SATTI_MALL
