row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
"BILL 07 020   Metro Plumbing Supplies   April 30, 2017",,,,,,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
1,REBAR-16MM,rebar 5/8 inch,330.2,123.0,40614.6,6904.48,47519.08,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
2,WIRE-7/029,CopWire7,168.0,96.0,16128.0,2741.76,18869.76,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
3,FLOOR_TILE_12,TIL-CER12,217.9,95.0,,,20700.0,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
4,S.BAR 12MM,12mm Steel Rebar,PKR 96,143.0,13742.3,2336.19,16078.49,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
5,MARBLE WHT,Marble Wht,TBD,737.0,103548.5,17603.25,121151.75,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
6,BRK-A,BRK-A,345.3,13409.0,4630127.7,,4630127.7,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
7,CEMENT BAG 50KG,Cement Bag 50Kg,239.6,854.0,204618.4,34785.13,239403.53,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
,,,,,5093850.81,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_APTS_Bill_01_BILL 07 020.xlsx,purchase_bills,SATTI_APTS
