row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
BILL 16 456   Crown Cement Pvt Ltd   2014/04/09,,,,,,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
1,ALU-WIN4,ALM-W4,,14763.0,3082514.4,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
2,WIRE-3/029,3/0.029 Copper Wire,214,51.0,10914.0,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
3,S.BAR 12MM,Steel Bar 12,TBD,127.0,51485.8,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
4,WC-STD,W.C. Std.,PKR 313,11329.0,,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
5,MAR-W-IMP,MRB-IMP,,726.0,260634.0,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
6,READY MIX M20,RMC-M20,234.5,457.0,107166.0,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
7,BRK-CLS-A,Red Brick A-Grade,237.7,12707.0,3020453.9,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
8,TIL-CER12,"Cer.Tile 12""",PKR 387,84.0,32491.2,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
9,CBL-ARM95,Armoured Cable 95,,968.0,191276.8,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
10,WIR-COP-7,WIRE-7/029,243/-,89.0,21644.8,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
,,,,,11521584.13,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,KAMRAN,,,,,purchase_bills\SATTI_PLAZA_Bill_17_BILL 16 456.xlsx,purchase_bills,SATTI_PLAZA
