row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
BILL13242   Hafiz Glass & Aluminum   06-04-2018,,,,,,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
1,WHITE MARBLE IMP.,Marble Wht,465.9,678.0,315880.2,,315880.2,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
2,AC-95SQ,arm_cable_95,432.3,753.0,325521.9,55338.72,380860.62,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
3,25KVA GENSET,25 KVA Generator,,970453.0,62885354.4,10690510.25,73575864.65,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
4,TIL-CER12,floor_tile_12,213.8,,20524.8,3489.0,24014.02,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
5,WIR-COP-7,Copper Wire 7/.029,243.2,90.0,21888.0,3720.96,25608.96,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
6,WIRE_3029,Copper Wire 3/.029,382,58.0,22156.0,3766.52,25922.52,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
7,GI PIPE 2IN,gi_pipe_2inch,27.7,326.0,,1535.0,10565.33,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
8,PLYWD-12,MR Ply 12,324.4,2295.0,744498.0,126564.66,871062.66,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
9,GI_PIPE_1INCH,"1"" GI Pipe",PKR 64,204.0,13158.0,2236.86,15394.86,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
,,,,,75245173.82,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_24_BILL13242.xlsx,purchase_bills,SATTI_APTS
