row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
BILL 07 494   Green Marble & Granite   12-06-2013,,,,,,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
1,CEMENT BAG 50KG,OPC 50 KG,75.6,974.0,,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
2,"G.I.PIPE 1""",gi_pipe_1inch,297.3,165.0,49054.5,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
3,CLEAR GLASS 6,GLS-CLR6,304.7,199.0,60635.3,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
4,ALM-WIN-4,Alum Window 4ft,PKR 331,16249.0,5384918.6,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
5,25KVA GENSET,GENSET-25,438,1006328.0,440771664.0,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
6,RMC_M20,rmc_m20,290.2,411.0,119272.0,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
7,RED BRICK A-GRADE,Class A Brick,PKR 133,11923.0,1580989.8,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
,,,,,523915403.38,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,NASIR,,,,,purchase_bills\SATTI_PLAZA_Bill_13_BILL 07 494.xlsx,purchase_bills,SATTI_PLAZA
