row_no,description,unit,rate,rate_2,rate_3,rate_4,rate_5,recommended,_source_file,_folder,_project
Project: SATTI_PLAZA,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
Date: 10-13-2013,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
1,gi_pipe_1inch,rft,200.0,184.0,183.0,197.0,154.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
2,Standard WC/Commode,nos,10990.0,12517.0,12186.0,11308.0,12457.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
3,OPC Cement 50kg Bag,bag,969.0,835.0,999.0,997.0,1011.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
4,"G.I.Pipe 2""",rft,347.0,325.0,326.0,345.0,318.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
5,PLY-MR12,sht,2279.0,2001.0,2526.0,1952.0,2360.0,Bismillah Timber Mart,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
6,WIR-CP3,mtr,59.0,51.0,53.0,55.0,51.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
7,OIL-PAINT-W,tin,1817.0,1556.0,1535.0,1849.0,1669.0,Al-Rehman Hardware,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
8,"C.Agg 3/4""",cft,57.0,47.0,48.0,56.0,61.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
9,Alum Window 4ft,nos,14953.0,15233.0,15777.0,15587.0,,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
10,Reti (River),cft,34.0,32.0,,38.0,40.0,Al-Rehman Hardware,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
11,GLASS-6MM,sft,209.0,236.0,201.0,218.0,193.0,Super Steel & Iron Works,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
Prepared by:,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
Approved by:,,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_PLAZA
