row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
Date: 03-16-2007,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
1,MRB-IMP,sft,631.0,756.0,597.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
2,OPC Cement 50kg Bag,bag,1040.0,917.0,1084.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
3,ply_mr_12mm,sht,2289.0,2284.0,2326.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
4,GENSET-25,nos,,1082900.0,1067844.0,Al-Rehman Hardware,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
5,CopWire3,mtr,61.0,63.0,52.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
6,"G.I.Pipe 1""",rft,199.0,202.0,169.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
7,Coarse Aggregate 3/4 inch,cft,52.0,47.0,58.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
8,gi_pipe_2inch,rft,352.0,301.0,338.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
Prepared by:,Site Engineer,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL
