row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
BILL/16/005   Karachi Sanitary Depot   2015/09/19,,,,,,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
1,CLASS A BRICK,BRICK-CLA,492.6,13697.0,6747142.2,,6747142.2,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
2,"TILE 12X12""","Cer.Tile 12""",337.7,82.0,27691.4,4707.54,32398.94,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
3,WIR-CP3,3/0.029 Copper Wire,185,50.0,9250.0,1572.5,10822.5,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
4,6MM_GLASS,6mm_glass,140.1,239.0,33483.9,,33483.9,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
5,ARMD-CBL-95,CBL-ARM95,385.2,750.0,288900.0,49113.0,338013.0,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
6,PLY_MR_12MM,12mm MR Plywood Sheet,,2123.0,1032203.0,,1032203.0,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
7,COMMODE STANDARD,Commode Standard,105,13108.0,1376340.0,233977.8,1610317.8,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
8,"G.I.PIPE 2""","2"" GI Pipe",194.9,293.0,57105.7,9707.97,66813.67,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
9,READY MIX M20,Ready Mix M20,71.6,447.0,32005.2,5440.88,37446.08,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
10,WIR-CP7,CopWire7,32.6,88.0,2868.8,487.7,3356.0,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
,,,,,9911997.19,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_15_BILL_16_005.xlsx,purchase_bills,SATTI_APTS
