row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
Bill No: BILL/08/244,,Date: 2015/05/24,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
Vendor: Al-Rehman Hardware,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
PO Ref: PO-PLZ-9513,,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
1,"A.WIN 4""",Alum Window 4ft,450.6,12931.0,5826708.6,990540.46,6817249.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
2,WIRE_3029,WIR-CP3,293.8,50.0,14690.0,,14690.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
3,AGG-CRS-34,coarse agg,200.2,55.0,11011.0,,11011.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
4,CLEAR GLASS 6,GLASS-6MM,196.1,188.0,36866.8,6267.36,43134.16,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
5,PLYWOOD 12MM MR,Plywood 12mm MR,147.9,2402.0,355255.8,,355255.8,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
6,PAI-OIL,OIL-PAINT-W,240/-,1998.0,479320.2,,479320.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
7,REBAR-16MM,rebar 5/8 inch,91.6,,12640.8,2148.94,14789.74,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
,,,,,7735449.96,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
,,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS
