row_no,description,qty,unit,unit_2,amount,_source_file,_folder,_project
Bill No: BILL-18-591,,Date: 10-26-2013,,,,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
Vendor: National Paint House,Project: SATTI_PLAZA,,,,,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
PO Ref: PO-APT-7097,,,,,,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
1,RMC-M20,RMC-M20,481,413,198653.0,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
2,GI PIPE 2IN,"2"" GI Pipe",PKR 154,284,43650.8,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
3,arm_cable_95,arm_cable_95,PKR 280,959,268903.6,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
4,gi_pipe_1inch,PIP-GI1,120.3,197,23699.1,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
5,"Cer.Tile 12""",TIL-CER12,246.7,95/-,23436.5,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
6,al_window_4,Alum Window 4ft,43.8,12568,550478.4,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
7,WIR-CP7,wire_7029,328.1,98,32153.8,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
8,paint_oil_w,paint_oil_w,79/-,1801,142279.0,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
,,,,Grand Total:,1396421.25,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
,,,,Payment Status:,,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,Asif,,,,,purchase_bills\SATTI_PLAZA_Bill_19_BILL-18-591.xlsx,purchase_bills,SATTI_PLAZA
