row_no,item_code,description,unit,rate,amount,_source_file,_folder,_project
"BILL/16/063   Pioneer Generators Ltd   June 01, 2013",,,,,,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
1,"G.I.PIPE 1""",PIP-GI1,498.6,187.0,93238.2,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
2,BAJRI 3/4,coarse agg,201.7,52.0,10488.4,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
3,STEEL BAR 16,rebar 5/8 inch,60.7,125.0,7587.5,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
4,SAN-WC-STD,WC-STD,434.4,13926.0,6049454.4,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
5,CEM-OPC50,CEMENT-50,204.5,984.0,201228.0,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
6,PLY-MR-12,ply_mr_12mm,240.2,2047.0,491689.4,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
,,,,,6940346.01,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
,,,,,,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
Prepared by:,KAMRAN,,,,,purchase_bills\SATTI_PLAZA_Bill_04_BILL_16_063.xlsx,purchase_bills,SATTI_PLAZA
