row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project
BILL/16/501   Crown Cement Pvt Ltd   07/11/2007,,,,,,,,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
1,REBAR 1/2 INCH,STL-RB12,TBD,114.0,6612.0,1124.04,7736.04,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
2,READY MIX M20,Ready Mix M20,284.7,482.0,137225.4,23328.32,160553.72,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
3,25KVA GENSET,25KVA Genset,,823493.0,229425149.8,39002275.47,268427425.27,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
4,WIR-COP-7,CopWire7,460,87.0,40020.0,,40020.0,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
5,COPWIRE3,CopWire3,PKR 331,50.0,16540.0,,16540.0,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
6,MAR-W-IMP,MRB-IMP,284.2,694.0,197234.8,,197234.8,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
7,CBL-ARM-95,arm_cable_95,374,811.0,303314.0,51563.38,354877.38,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
8,OIL-PAINT-W,Oil Paint (White) 4Ltr,318.9,1953.0,622811.7,,728689.69,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
9,MR PLY 12,PLYWD-12,,2341.0,936400.0,159188.0,1095588.0,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
,,,,,271028665.0,,,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
,,,,,,,,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_MALL_Bill_08_BILL_16_501.xlsx,purchase_bills,SATTI_MALL
