row_no,description,unit,rate,rate_2,rate_3,rate_4,recommended,_source_file,_folder,_project
Project: SATTI_MALL,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
Date: 22/10/2006,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
1,TIL-CER12,sft,79.0,78.0,73.0,74.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
2,GLS-CLR6,sft,238.0,252.0,222.0,208.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
3,GalvPipe-1,rft,171.0,203.0,161.0,172.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
4,M20 Concrete,cft,396.0,362.0,455.0,450.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
5,95mm² Armoured Cable,mtr,798.0,885.0,879.0,853.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
6,rebar 5/8 inch,kg,156.0,132.0,120.0,140.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
7,ALM-W4,nos,16015.0,12656.0,16131.0,13516.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
8,BRK-A,1000,13355.0,15458.0,12220.0,15785.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
9,Generator 25KVA,nos,,995949.0,906126.0,816173.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
Prepared by:,PM,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
Approved by:,,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL
