row_no,description,unit,rate,rate_2,rate_3,rate_4,recommended,_source_file,_folder,_project
Project: SATTI_PLAZA,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
Date: 19-Nov-2013,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
1,CEM-OPC50,bag,910.0,943.0,937.0,935.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
2,S.Bar 16mm,kg,153.0,133.0,158.0,132.0,Pak Steel Traders,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
3,WIR-CP3,mtr,56.0,53.0,55.0,,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
4,S.Bar 12mm,kg,122.0,137.0,133.0,125.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
5,"G.I.Pipe 2""",rft,269.0,329.0,286.0,312.0,Green Marble & Granite,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
6,WIR-CP7,mtr,109.0,90.0,93.0,99.0,Allied Cables & Wires,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
Prepared by:,Asif,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
Approved by:,,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_PLAZA
